sample_id,field,annotator_a,annotator_b,adjudicated_value
HR0006,q6_glare,yes,no,no
HR0013,q5_value,blurry,clear,clear
HR0013,q6_glare,no,yes,yes
HR0019,q6_glare,yes,no,yes
HR0022,q4_occlusion,yes,no,no
HR0022,q6_glare,yes,no,no
HR0024,q6_glare,yes,no,yes
HR0025,q4_occlusion,yes,no,yes
HR0027,q4_bleeding,yes,no,yes
HR0031,q5_value,reflective,clear,clear
HR0033,q6_glare,no,yes,yes
HR0035,q6_glare,no,yes,yes
HR0037,q6_glare,no,yes,yes
HR0040,q6_glare,no,yes,yes
HR0041,q6_glare,yes,no,yes
HR0043,q6_glare,no,yes,yes
HR0047,q6_glare,no,yes,yes
HR0049,q5_value,blurry,clear,clear
HR0058,q4_bleeding,no,yes,yes
HR0064,q5_value,blurry,clear,clear
HR0065,q6_glare,yes,no,yes
HR0075,q5_value,blurry,clear,clear
HR0078,q5_value,clear,blurry,clear
HR0082,q5_value,clear,blurry,clear
HR0084,q5_value,blurry,clear,clear
HR0090,q6_glare,yes,no,no
HR0097,q5_value,clear,mixed,mixed
HR0097,q6_glare,yes,no,yes
HR0100,q5_value,blurry,clear,blurry
HR0100,q6_glare,no,yes,yes
HR0102,q6_glare,yes,no,yes
HR0105,q6_glare,no,yes,yes
HR0106,q6_glare,no,yes,no
HR0107,q4_bleeding,yes,no,yes
HR0108,q4_bleeding,yes,no,yes
HR0108,q5_value,blurry,clear,clear
HR0108,q6_glare,no,yes,yes
HR0109,q4_bleeding,yes,no,yes
HR0112,q4_bleeding,yes,no,no
HR0112,q6_glare,no,yes,yes
HR0115,q4_bleeding,no,yes,yes
HR0115,q6_glare,yes,no,no
HR0116,q4_bleeding,no,yes,yes
HR0119,q4_bleeding,no,yes,yes
HR0121,q4_bleeding,no,yes,yes
HR0122,q5_value,blurry,clear,clear
HR0125,q6_glare,no,yes,yes
HR0126,q6_glare,yes,no,no
HR0130,q6_glare,yes,no,yes
HR0133,q6_glare,no,yes,yes
HR0136,q5_value,clear,reflective,reflective
HR0137,q6_glare,yes,no,yes
HR0144,q6_glare,yes,no,no
HR0146,q4_smoke,no,yes,yes
HR0146,q6_glare,yes,no,yes
HR0146,q9_smoke_region,none,multiple,multiple
HR0147,q6_glare,yes,no,yes
HR0151,q6_glare,no,yes,yes
HR0152,q4_smoke,yes,no,yes
HR0152,q6_glare,yes,no,yes
HR0154,q6_glare,no,yes,no
HR0155,q4_smoke,no,yes,yes
HR0155,q9_smoke_region,none,multiple,multiple
HR0156,q4_occlusion,yes,no,yes
HR0160,q6_glare,no,yes,yes
HR0161,q6_glare,yes,no,yes
HR0161,q9_smoke_region,none,multiple,multiple
HR0164,q6_glare,yes,no,yes
HR0165,q6_glare,yes,no,yes
HR0166,q6_glare,no,yes,no
HR0167,q6_glare,yes,no,no
HR0172,q6_glare,no,yes,yes
HR0173,q6_glare,no,yes,no
HR0176,q4_occlusion,yes,no,yes
HR0179,q6_glare,yes,no,no
HR0180,q6_glare,no,yes,yes
HR0184,q4_occlusion,yes,no,no
HR0188,q6_glare,no,yes,no
HR0191,q6_glare,yes,no,no
HR0191,q7_contrast_normal,no,yes,yes
HR0203,q4_bleeding,uncertain,no,yes
HR0204,q4_occlusion,no,yes,no
HR0206,q4_bleeding,yes,no,no
HR0209,q4_bleeding,yes,no,yes
HR0209,q6_glare,yes,no,yes
HR0210,q4_bleeding,yes,no,yes
HR0210,q6_glare,yes,no,yes
HR0214,q4_bleeding,yes,no,yes
HR0214,q6_glare,yes,no,no
HR0216,q4_bleeding,yes,no,yes
HR0219,q4_bleeding,yes,no,no
HR0228,q4_bleeding,no,yes,yes
HR0230,q4_bleeding,yes,no,yes
HR0230,q5_value,blurry,clear,clear
HR0232,q4_bleeding,no,yes,yes
HR0234,q4_bleeding,no,yes,yes
HR0235,q4_bleeding,no,yes,yes
HR0237,q5_value,clear,blurry,clear
HR0242,q6_glare,yes,no,yes
HR0243,q6_glare,no,yes,no
HR0244,q6_glare,no,yes,yes
HR0245,q4_occlusion,yes,no,no
HR0248,q5_value,clear,reflective,reflective
HR0248,q6_glare,yes,no,yes
HR0249,q6_glare,yes,uncertain,uncertain
