sample_id,q4_bleeding,q4_smoke,q4_occlusion,q5_value,q6_glare,q7_contrast_normal,q9_smoke_region,global_unusable_frame_yes_no
HR0115,no,no,no,clear,yes,yes,none,no
HR0181,no,no,no,clear,yes,yes,none,no
HR0022,no,no,yes,clear,yes,yes,none,no
HR0093,no,no,no,clear,no,yes,none,no
HR0006,no,no,no,clear,yes,yes,none,no
HR0111,no,no,no,clear,no,yes,none,no
HR0048,no,no,no,clear,no,yes,none,no
HR0236,yes,no,no,clear,no,yes,none,no
HR0191,no,no,no,clear,yes,no,none,no
HR0183,no,no,no,clear,no,yes,none,no
HR0161,no,yes,no,clear,yes,yes,none,no
HR0102,yes,no,no,clear,yes,yes,none,no
HR0040,no,no,no,clear,no,yes,none,no
HR0025,no,no,yes,blurry,no,yes,none,no
HR0196,no,no,no,clear,no,yes,none,no
HR0090,no,no,no,clear,yes,yes,none,no
HR0001,no,no,no,clear,no,yes,none,no
HR0030,no,no,no,clear,no,yes,none,no
HR0042,no,no,no,clear,yes,yes,none,no
HR0230,yes,no,no,blurry,no,yes,none,no
HR0171,no,no,no,clear,yes,yes,none,no
HR0118,yes,no,no,clear,no,yes,none,no
HR0055,no,no,no,clear,yes,yes,none,no
HR0209,yes,no,no,blurry,yes,yes,none,no
HR0226,no,no,no,clear,no,yes,none,no
HR0008,no,no,no,clear,no,yes,none,no
HR0126,no,no,no,clear,yes,yes,none,no
HR0065,no,no,no,blurry,yes,yes,none,no
HR0165,no,no,no,blurry,yes,yes,none,no
HR0074,no,no,no,clear,no,yes,none,no
HR0214,yes,no,no,clear,yes,yes,none,no
HR0224,yes,no,no,clear,no,yes,none,no
HR0176,no,no,yes,clear,no,yes,none,no
HR0031,no,no,no,reflective,yes,yes,none,no
HR0242,no,no,no,clear,yes,yes,none,no
HR0129,no,no,no,clear,no,yes,none,no
HR0039,no,no,no,blurry,yes,yes,none,no
HR0186,no,no,no,clear,no,yes,none,no
HR0002,no,no,no,clear,no,yes,none,no
HR0203,uncertain,no,no,blurry,no,yes,none,no
HR0044,no,no,no,clear,no,yes,none,no
HR0155,no,no,no,clear,no,yes,none,no
HR0105,yes,no,no,clear,no,yes,none,no
HR0109,yes,no,no,clear,no,yes,none,no
HR0210,yes,no,no,blurry,yes,yes,none,no
HR0182,no,no,no,clear,no,yes,none,no
HR0089,no,no,no,clear,no,yes,none,no
HR0201,no,no,no,clear,no,yes,none,no
HR0083,no,no,no,blurry,no,yes,none,no
HR0005,no,no,no,clear,no,yes,none,no
HR0195,no,no,no,clear,no,yes,none,no
HR0207,no,no,no,clear,no,yes,none,no
HR0072,no,no,no,clear,no,yes,none,no
HR0192,no,no,no,clear,no,yes,none,no
HR0233,yes,no,no,clear,no,yes,none,no
HR0081,no,no,no,clear,no,yes,none,no
HR0221,no,no,no,clear,no,yes,none,no
HR0151,no,no,no,clear,no,yes,none,no
HR0189,no,no,no,clear,no,yes,none,no
HR0110,no,no,no,clear,no,yes,none,no
HR0017,no,no,no,clear,no,yes,none,no
HR0244,no,no,no,clear,no,yes,none,no
HR0051,no,no,no,clear,no,yes,none,no
HR0113,no,no,no,clear,no,yes,none,no
HR0162,no,no,no,clear,no,yes,none,no
HR0140,no,yes,no,clear,no,yes,multiple,no
HR0131,no,no,no,clear,no,yes,none,no
HR0164,no,no,no,reflective,yes,yes,none,no
HR0241,no,no,no,clear,no,yes,none,no
HR0238,no,no,no,clear,no,yes,none,no
HR0185,no,no,no,clear,no,yes,none,no
HR0116,no,no,no,clear,yes,yes,none,no
HR0213,no,no,no,clear,no,yes,none,no
HR0103,yes,no,no,clear,no,yes,none,no
HR0156,no,yes,yes,clear,no,yes,center,no
HR0173,no,no,no,clear,no,yes,none,no
HR0229,yes,no,no,clear,no,yes,none,no
HR0062,no,no,no,clear,no,yes,none,no
HR0097,no,no,no,clear,yes,yes,none,no
HR0100,no,no,no,blurry,no,yes,none,no
HR0007,no,no,no,clear,no,yes,none,no
HR0187,no,no,no,clear,no,yes,none,no
HR0047,no,no,no,clear,no,yes,none,no
HR0121,no,no,no,clear,no,yes,none,no
HR0066,no,no,no,clear,no,yes,none,no
HR0208,no,no,no,blurry,no,yes,none,no
HR0101,no,no,no,clear,no,yes,none,no
HR0215,yes,no,no,clear,no,yes,none,no
HR0231,no,no,no,blurry,no,yes,none,no
HR0240,yes,no,no,clear,no,yes,none,no
HR0135,no,no,no,clear,no,yes,none,no
HR0061,yes,no,no,clear,no,yes,none,no
HR0108,yes,no,no,blurry,no,yes,none,no
HR0204,no,no,no,clear,no,yes,none,no
HR0078,no,no,no,clear,no,yes,none,no
HR0172,no,no,no,clear,no,yes,none,no
HR0016,no,no,no,clear,no,yes,none,no
HR0136,no,no,no,clear,no,yes,none,no
HR0029,no,no,no,blurry,no,yes,none,yes
HR0071,yes,no,no,clear,no,yes,none,no
HR0014,no,no,no,clear,no,yes,none,no
HR0166,no,no,no,clear,no,yes,none,no
HR0033,no,no,no,blurry,no,yes,none,no
HR0127,no,no,no,clear,no,yes,none,no
HR0028,no,no,no,clear,no,yes,none,no
HR0053,no,no,no,clear,no,yes,none,no
HR0045,no,no,no,clear,no,yes,none,no
HR0212,no,no,no,clear,no,yes,none,no
HR0054,no,no,no,clear,no,yes,none,no
HR0088,no,no,no,clear,no,yes,none,no
HR0246,no,no,no,clear,no,yes,none,no
HR0119,no,no,no,clear,no,yes,none,no
HR0170,no,no,no,clear,no,yes,none,no
HR0060,yes,no,no,clear,no,yes,none,no
HR0124,no,no,no,clear,no,yes,none,no
HR0096,no,no,no,blurry,no,yes,none,no
HR0168,no,no,no,clear,yes,yes,none,no
HR0141,no,yes,no,clear,no,yes,multiple,no
HR0228,no,no,no,clear,no,yes,none,no
HR0193,no,no,no,clear,no,yes,none,no
HR0190,no,no,no,clear,no,yes,none,no
HR0137,no,no,no,reflective,yes,yes,none,no
HR0150,no,yes,no,clear,no,yes,center,no
HR0194,no,no,no,clear,no,yes,none,no
HR0032,no,no,no,clear,no,yes,none,no
HR0091,no,no,no,clear,no,yes,none,no
HR0199,no,no,no,clear,no,yes,none,no
HR0198,no,no,no,clear,no,yes,none,no
HR0099,no,no,no,clear,no,yes,none,no
HR0050,no,no,no,clear,no,yes,none,no
HR0021,no,no,no,clear,no,yes,none,no
HR0145,no,no,no,clear,no,yes,none,no
HR0082,no,no,no,clear,no,yes,none,no
HR0174,no,no,no,clear,yes,yes,none,no
HR0178,no,no,no,clear,no,yes,none,no
HR0106,no,no,no,clear,no,yes,none,no
HR0234,no,no,no,clear,no,yes,none,no
HR0076,no,no,no,clear,no,yes,none,no
HR0036,no,no,no,clear,no,yes,none,no
HR0037,no,no,no,clear,no,yes,none,no
HR0133,no,no,no,clear,no,yes,none,no
HR0159,no,yes,no,clear,no,yes,multiple,no
HR0026,no,no,no,blurry,no,yes,none,no
HR0248,no,no,no,clear,yes,yes,none,no
HR0019,no,no,no,clear,yes,yes,none,no
HR0085,no,no,no,blurry,no,yes,none,no
HR0075,no,no,no,blurry,no,yes,none,no
HR0107,yes,no,no,clear,no,yes,none,no
HR0095,no,no,no,clear,no,yes,none,no
HR0070,no,no,no,blurry,no,yes,none,no
HR0015,no,no,no,clear,no,yes,none,no
HR0009,no,no,no,clear,no,yes,none,no
HR0245,no,no,yes,clear,no,yes,none,no
HR0092,no,no,no,clear,no,yes,none,no
HR0184,no,no,yes,clear,no,yes,none,no
HR0034,no,no,no,clear,no,yes,none,no
HR0125,no,no,no,clear,no,yes,none,no
HR0128,no,no,no,clear,no,yes,none,no
HR0073,no,no,no,clear,no,yes,none,no
HR0052,no,no,no,clear,no,yes,none,no
HR0018,no,no,no,blurry,no,yes,none,no
HR0049,no,no,no,blurry,yes,yes,none,no
HR0154,no,no,no,clear,no,yes,none,no
HR0227,yes,no,no,clear,no,yes,none,no
HR0059,yes,no,no,clear,no,yes,none,no
HR0148,no,yes,no,clear,yes,yes,multiple,no
HR0123,no,no,no,clear,yes,yes,none,no
HR0003,no,no,no,clear,no,yes,none,no
HR0225,no,no,no,clear,no,yes,none,no
HR0243,no,no,no,clear,no,yes,none,no
HR0084,no,no,no,blurry,no,yes,none,no
HR0218,yes,no,no,clear,no,yes,none,no
HR0079,no,no,no,clear,no,yes,none,no
HR0120,no,no,no,clear,no,yes,none,no
HR0167,no,no,no,clear,yes,yes,none,no
HR0216,yes,no,no,clear,no,yes,none,no
HR0077,no,no,no,clear,no,yes,none,no
HR0112,yes,no,no,clear,no,yes,none,no
HR0239,yes,no,no,clear,no,yes,none,no
HR0144,no,no,no,clear,yes,yes,none,no
HR0149,no,no,no,clear,yes,yes,none,no
HR0138,no,yes,no,clear,no,yes,multiple,no
HR0114,no,no,no,clear,no,yes,none,no
HR0023,no,no,no,clear,no,yes,none,no
HR0169,no,no,no,clear,yes,yes,none,no
HR0080,no,no,no,clear,no,yes,none,no
HR0197,no,no,no,clear,no,yes,none,no
HR0043,no,no,no,clear,no,yes,none,no
HR0146,no,no,no,clear,yes,yes,none,no
HR0142,no,no,no,clear,no,yes,none,no
HR0041,no,no,no,clear,yes,yes,none,no
HR0160,no,no,no,clear,no,yes,none,no
HR0232,no,no,no,clear,no,yes,none,no
HR0158,no,no,no,clear,no,yes,none,no
HR0058,no,no,no,clear,no,yes,none,no
HR0038,no,no,no,clear,yes,yes,none,no
HR0013,no,no,no,blurry,no,yes,none,no
HR0153,no,yes,no,clear,yes,yes,multiple,no
