sample_id,record_id,dataset,site,split,video_key,representative_stratum,challenge_additional_stratum,q4_bleeding,q4_bleeding_resolution,q4_smoke,q4_smoke_resolution,q4_occlusion,q4_occlusion_resolution,q5_value,q5_value_resolution,q6_glare,q6_glare_resolution,q7_contrast_normal,q7_contrast_normal_resolution,q9_smoke_region,q9_smoke_region_resolution,global_unusable_frame_yes_no,global_unusable_frame_yes_no_resolution
HR0001,site1/test/video10frame026,EndoVis 2017,site1,test,site1/video10,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0002,site1/test/video10frame059,EndoVis 2017,site1,test,site1/video10,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0003,site1/test/video10frame111,EndoVis 2017,site1,test,site1/video10,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0004,site1/test/video10frame137,EndoVis 2017,site1,test,site1/video10,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0005,site1/test/video10frame138,EndoVis 2017,site1,test,site1/video10,0,1,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0006,site1/test/video10frame167,EndoVis 2017,site1,test,site1/video10,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0007,site1/test/video10frame225,EndoVis 2017,site1,test,site1/video10,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0008,site1/test/video10frame248,EndoVis 2017,site1,test,site1/video10,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0009,site1/test/video10frame272,EndoVis 2017,site1,test,site1/video10,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0010,site1/test/video9frame007,EndoVis 2017,site1,test,site1/video9,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0011,site1/test/video9frame056,EndoVis 2017,site1,test,site1/video9,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0012,site1/test/video9frame110,EndoVis 2017,site1,test,site1/video9,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0013,site1/test/video9frame114,EndoVis 2017,site1,test,site1/video9,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,third_reviewer_adjudication,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0014,site1/test/video9frame175,EndoVis 2017,site1,test,site1/video9,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0015,site1/test/video9frame215,EndoVis 2017,site1,test,site1/video9,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0016,site1/test/video9frame247,EndoVis 2017,site1,test,site1/video9,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0017,site1/test/video9frame283,EndoVis 2017,site1,test,site1/video9,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0018,site1/train/video1frame011,EndoVis 2017,site1,train,site1/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,blurry,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0019,site1/train/video1frame032,EndoVis 2017,site1,train,site1/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,yes,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0020,site1/train/video1frame065,EndoVis 2017,site1,train,site1/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0021,site1/train/video1frame106,EndoVis 2017,site1,train,site1/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0022,site1/train/video1frame139,EndoVis 2017,site1,train,site1/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,third_reviewer_adjudication,clear,annotator_agreement,no,third_reviewer_adjudication,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
HR0023,site1/train/video1frame158,EndoVis 2017,site1,train,site1/video1,1,0,no,annotator_agreement,no,annotator_agreement,no,annotator_agreement,clear,annotator_agreement,no,annotator_agreement,yes,annotator_agreement,none,annotator_agreement,no,annotator_agreement
