sample_id,record_id,dataset,site,split,video_key,frame_index,representative_stratum,challenge_additional_stratum,challenge_smoke_flag,challenge_reasons,central_area_instrument_fraction,sequence_key
HR0001,site1/test/video10frame026,EndoVis 2017,site1,test,site1/video10,26,1,0,0,,0.2833777070045471,site1/test/video10
HR0002,site1/test/video10frame059,EndoVis 2017,site1,test,site1/video10,59,1,0,0,,0.05543017014861107,site1/test/video10
HR0003,site1/test/video10frame111,EndoVis 2017,site1,test,site1/video10,111,1,0,0,,0.11172261089086533,site1/test/video10
HR0004,site1/test/video10frame137,EndoVis 2017,site1,test,site1/video10,137,1,0,0,,0.09459105134010315,site1/test/video10
HR0005,site1/test/video10frame138,EndoVis 2017,site1,test,site1/video10,138,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.33033180236816406,site1/test/video10
HR0006,site1/test/video10frame167,EndoVis 2017,site1,test,site1/video10,167,1,0,0,,0.11612847447395325,site1/test/video10
HR0007,site1/test/video10frame225,EndoVis 2017,site1,test,site1/video10,225,1,0,0,,0.17042438685894012,site1/test/video10
HR0008,site1/test/video10frame248,EndoVis 2017,site1,test,site1/video10,248,1,0,0,,0.2233661264181137,site1/test/video10
HR0009,site1/test/video10frame272,EndoVis 2017,site1,test,site1/video10,272,1,0,0,,0.1299440562725067,site1/test/video10
HR0010,site1/test/video9frame007,EndoVis 2017,site1,test,site1/video9,7,1,0,0,,0.16523919999599457,site1/test/video9
HR0011,site1/test/video9frame056,EndoVis 2017,site1,test,site1/video9,56,1,0,0,,0.07432098686695099,site1/test/video9
HR0012,site1/test/video9frame110,EndoVis 2017,site1,test,site1/video9,110,1,0,0,,0.08144868910312653,site1/test/video9
HR0013,site1/test/video9frame114,EndoVis 2017,site1,test,site1/video9,114,1,0,0,,0.01854938268661499,site1/test/video9
HR0014,site1/test/video9frame175,EndoVis 2017,site1,test,site1/video9,175,1,0,0,,0.08945409208536148,site1/test/video9
HR0015,site1/test/video9frame215,EndoVis 2017,site1,test,site1/video9,215,1,0,0,,0.09825810045003891,site1/test/video9
HR0016,site1/test/video9frame247,EndoVis 2017,site1,test,site1/video9,247,1,0,0,,0.23961806297302246,site1/test/video9
HR0017,site1/test/video9frame283,EndoVis 2017,site1,test,site1/video9,283,1,0,0,,0.19768711924552917,site1/test/video9
HR0018,site1/train/video1frame011,EndoVis 2017,site1,train,site1/video1,11,1,0,0,,0.20237120985984802,site1/train/video1
HR0019,site1/train/video1frame032,EndoVis 2017,site1,train,site1/video1,32,1,0,0,,0.40397948026657104,site1/train/video1
HR0020,site1/train/video1frame065,EndoVis 2017,site1,train,site1/video1,65,1,0,0,,0.12563171982765198,site1/train/video1
HR0021,site1/train/video1frame106,EndoVis 2017,site1,train,site1/video1,106,1,0,0,,0.14432373642921448,site1/train/video1
HR0022,site1/train/video1frame139,EndoVis 2017,site1,train,site1/video1,139,1,0,0,,0.277322381734848,site1/train/video1
HR0023,site1/train/video1frame158,EndoVis 2017,site1,train,site1/video1,158,1,0,0,,0.05321044847369194,site1/train/video1
HR0024,site1/train/video1frame162,EndoVis 2017,site1,train,site1/video1,162,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.0056304931640625,site1/train/video1
HR0025,site1/train/video1frame164,EndoVis 2017,site1,train,site1/video1,164,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.35477906465530396,site1/train/video1
HR0026,site1/train/video1frame166,EndoVis 2017,site1,train,site1/video1,166,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.25729674100875854,site1/train/video1
HR0027,site1/train/video1frame176,EndoVis 2017,site1,train,site1/video1,176,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,3.662109520519152e-05,site1/train/video1
HR0028,site1/train/video1frame181,EndoVis 2017,site1,train,site1/video1,181,1,0,0,,0.01490173302590847,site1/train/video1
HR0029,site1/train/video1frame200,EndoVis 2017,site1,train,site1/video1,200,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.08113403618335724,site1/train/video1
HR0030,site1/train/video1frame205,EndoVis 2017,site1,train,site1/video1,205,1,0,0,,0.0419921875,site1/train/video1
HR0031,site1/train/video2frame005,EndoVis 2017,site1,train,site1/video2,5,1,0,0,,0.04694824293255806,site1/train/video2
HR0032,site1/train/video2frame045,EndoVis 2017,site1,train,site1/video2,45,1,0,0,,0.07438965141773224,site1/train/video2
HR0033,site1/train/video2frame054,EndoVis 2017,site1,train,site1/video2,54,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.09511718899011612,site1/train/video2
HR0034,site1/train/video2frame060,EndoVis 2017,site1,train,site1/video2,60,1,0,0,,0.19311217963695526,site1/train/video2
HR0035,site1/train/video2frame097,EndoVis 2017,site1,train,site1/video2,97,1,0,0,,0.04031982272863388,site1/train/video2
HR0036,site1/train/video2frame130,EndoVis 2017,site1,train,site1/video2,130,1,0,0,,0.08820190280675888,site1/train/video2
HR0037,site1/train/video2frame158,EndoVis 2017,site1,train,site1/video2,158,1,0,0,,0.33981627225875854,site1/train/video2
HR0038,site1/train/video2frame182,EndoVis 2017,site1,train,site1/video2,182,1,0,0,,0.013336181640625,site1/train/video2
HR0039,site1/train/video2frame196,EndoVis 2017,site1,train,site1/video2,196,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.0606842041015625,site1/train/video2
HR0040,site1/train/video2frame203,EndoVis 2017,site1,train,site1/video2,203,1,0,0,,0.097076416015625,site1/train/video2
HR0041,site1/train/video3frame014,EndoVis 2017,site1,train,site1/video3,14,1,0,0,,0.11792602390050888,site1/train/video3
HR0042,site1/train/video3frame037,EndoVis 2017,site1,train,site1/video3,37,1,0,0,,0.22653503715991974,site1/train/video3
HR0043,site1/train/video3frame074,EndoVis 2017,site1,train,site1/video3,74,1,0,0,,0.011227416805922985,site1/train/video3
HR0044,site1/train/video3frame104,EndoVis 2017,site1,train,site1/video3,104,1,0,0,,0.25500792264938354,site1/train/video3
HR0045,site1/train/video3frame122,EndoVis 2017,site1,train,site1/video3,122,1,0,0,,0.10560913383960724,site1/train/video3
HR0046,site1/train/video3frame144,EndoVis 2017,site1,train,site1/video3,144,1,0,0,,0.18461303412914276,site1/train/video3
HR0047,site1/train/video3frame196,EndoVis 2017,site1,train,site1/video3,196,1,0,0,,0.18897704780101776,site1/train/video3
HR0048,site1/train/video3frame216,EndoVis 2017,site1,train,site1/video3,216,1,0,0,,0.20632019639015198,site1/train/video3
HR0049,site1/train/video4frame015,EndoVis 2017,site1,train,site1/video4,15,1,0,0,,0.128326416015625,site1/train/video4
HR0050,site1/train/video4frame051,EndoVis 2017,site1,train,site1/video4,51,1,0,0,,0.05504760891199112,site1/train/video4
HR0051,site1/train/video4frame063,EndoVis 2017,site1,train,site1/video4,63,1,0,0,,0.0059967041015625,site1/train/video4
HR0052,site1/train/video4frame101,EndoVis 2017,site1,train,site1/video4,101,1,0,0,,0.0044921874068677425,site1/train/video4
HR0053,site1/train/video4frame116,EndoVis 2017,site1,train,site1/video4,116,1,0,0,,0.015103149227797985,site1/train/video4
HR0054,site1/train/video4frame154,EndoVis 2017,site1,train,site1/video4,154,1,0,0,,0.24457398056983948,site1/train/video4
HR0055,site1/train/video4frame192,EndoVis 2017,site1,train,site1/video4,192,1,0,0,,0.21932068467140198,site1/train/video4
HR0056,site1/train/video4frame224,EndoVis 2017,site1,train,site1/video4,224,1,0,0,,0.11265869438648224,site1/train/video4
HR0057,site1/train/video5frame024,EndoVis 2017,site1,train,site1/video5,24,1,0,0,,0.2901062071323395,site1/train/video5
HR0058,site1/train/video5frame041,EndoVis 2017,site1,train,site1/video5,41,1,0,0,,0.25586241483688354,site1/train/video5
HR0059,site1/train/video5frame059,EndoVis 2017,site1,train,site1/video5,59,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.02097168006002903,site1/train/video5
HR0060,site1/train/video5frame060,EndoVis 2017,site1,train,site1/video5,60,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.0,site1/train/video5
HR0061,site1/train/video5frame062,EndoVis 2017,site1,train,site1/video5,62,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.04627685621380806,site1/train/video5
HR0062,site1/train/video5frame075,EndoVis 2017,site1,train,site1/video5,75,1,0,0,,0.09305419772863388,site1/train/video5
HR0063,site1/train/video5frame100,EndoVis 2017,site1,train,site1/video5,100,1,0,0,,0.0,site1/train/video5
HR0064,site1/train/video5frame122,EndoVis 2017,site1,train,site1/video5,122,1,0,0,,0.19701233506202698,site1/train/video5
HR0065,site1/train/video5frame149,EndoVis 2017,site1,train,site1/video5,149,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.328805536031723,site1/train/video5
HR0066,site1/train/video5frame159,EndoVis 2017,site1,train,site1/video5,159,1,0,0,,0.10504455864429474,site1/train/video5
HR0067,site1/train/video5frame169,EndoVis 2017,site1,train,site1/video5,169,1,0,0,,0.09837951511144638,site1/train/video5
HR0068,site1/train/video5frame224,EndoVis 2017,site1,train,site1/video5,224,1,0,0,,6.408691115211695e-05,site1/train/video5
HR0069,site1/train/video6frame003,EndoVis 2017,site1,train,site1/video6,3,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.1254730224609375,site1/train/video6
