record_id,dataset,site,split,video_key,frame_index,target_name,central_region,central_instrument_fraction,positive_threshold,label
site1/train/video1frame000,EndoVis 2017,site1,train,site1/video1,0,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1918670684,>=0.05,yes
site1/train/video1frame001,EndoVis 2017,site1,train,site1/video1,1,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2110290527,>=0.05,yes
site1/train/video1frame002,EndoVis 2017,site1,train,site1/video1,2,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2074615508,>=0.05,yes
site1/train/video1frame003,EndoVis 2017,site1,train,site1/video1,3,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1903045624,>=0.05,yes
site1/train/video1frame004,EndoVis 2017,site1,train,site1/video1,4,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2097686827,>=0.05,yes
site1/train/video1frame005,EndoVis 2017,site1,train,site1/video1,5,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1929931641,>=0.05,yes
site1/train/video1frame006,EndoVis 2017,site1,train,site1/video1,6,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2688140869,>=0.05,yes
site1/train/video1frame007,EndoVis 2017,site1,train,site1/video1,7,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3495574892,>=0.05,yes
site1/train/video1frame008,EndoVis 2017,site1,train,site1/video1,8,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3225433230,>=0.05,yes
site1/train/video1frame009,EndoVis 2017,site1,train,site1/video1,9,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3308075070,>=0.05,yes
site1/train/video1frame010,EndoVis 2017,site1,train,site1/video1,10,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2460510284,>=0.05,yes
site1/train/video1frame011,EndoVis 2017,site1,train,site1/video1,11,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2023712099,>=0.05,yes
site1/train/video1frame012,EndoVis 2017,site1,train,site1/video1,12,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2593871951,>=0.05,yes
site1/train/video1frame013,EndoVis 2017,site1,train,site1/video1,13,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2068878114,>=0.05,yes
site1/train/video1frame014,EndoVis 2017,site1,train,site1/video1,14,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2386871278,>=0.05,yes
site1/train/video1frame015,EndoVis 2017,site1,train,site1/video1,15,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2891204953,>=0.05,yes
site1/train/video1frame016,EndoVis 2017,site1,train,site1/video1,16,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2950134277,>=0.05,yes
site1/train/video1frame017,EndoVis 2017,site1,train,site1/video1,17,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2427459657,>=0.05,yes
site1/train/video1frame018,EndoVis 2017,site1,train,site1/video1,18,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0372131355,>=0.05,no
site1/train/video1frame019,EndoVis 2017,site1,train,site1/video1,19,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1163635254,>=0.05,yes
site1/train/video1frame020,EndoVis 2017,site1,train,site1/video1,20,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3553131223,>=0.05,yes
site1/train/video1frame021,EndoVis 2017,site1,train,site1/video1,21,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3651092649,>=0.05,yes
site1/train/video1frame022,EndoVis 2017,site1,train,site1/video1,22,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4312072694,>=0.05,yes
site1/train/video1frame023,EndoVis 2017,site1,train,site1/video1,23,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4844604433,>=0.05,yes
site1/train/video1frame024,EndoVis 2017,site1,train,site1/video1,24,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4785217345,>=0.05,yes
site1/train/video1frame025,EndoVis 2017,site1,train,site1/video1,25,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4783569276,>=0.05,yes
site1/train/video1frame026,EndoVis 2017,site1,train,site1/video1,26,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4549652040,>=0.05,yes
site1/train/video1frame027,EndoVis 2017,site1,train,site1/video1,27,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4375762939,>=0.05,yes
site1/train/video1frame028,EndoVis 2017,site1,train,site1/video1,28,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4395965636,>=0.05,yes
site1/train/video1frame029,EndoVis 2017,site1,train,site1/video1,29,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4410217404,>=0.05,yes
site1/train/video1frame030,EndoVis 2017,site1,train,site1/video1,30,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3966857791,>=0.05,yes
site1/train/video1frame031,EndoVis 2017,site1,train,site1/video1,31,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4040832520,>=0.05,yes
site1/train/video1frame032,EndoVis 2017,site1,train,site1/video1,32,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4039794803,>=0.05,yes
site1/train/video1frame033,EndoVis 2017,site1,train,site1/video1,33,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4074829221,>=0.05,yes
site1/train/video1frame034,EndoVis 2017,site1,train,site1/video1,34,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4126953185,>=0.05,yes
site1/train/video1frame035,EndoVis 2017,site1,train,site1/video1,35,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4150482118,>=0.05,yes
site1/train/video1frame036,EndoVis 2017,site1,train,site1/video1,36,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4135833681,>=0.05,yes
site1/train/video1frame037,EndoVis 2017,site1,train,site1/video1,37,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4164153934,>=0.05,yes
site1/train/video1frame038,EndoVis 2017,site1,train,site1/video1,38,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4086090028,>=0.05,yes
site1/train/video1frame039,EndoVis 2017,site1,train,site1/video1,39,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4045074582,>=0.05,yes
site1/train/video1frame040,EndoVis 2017,site1,train,site1/video1,40,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4047485292,>=0.05,yes
site1/train/video1frame041,EndoVis 2017,site1,train,site1/video1,41,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4079956114,>=0.05,yes
site1/train/video1frame042,EndoVis 2017,site1,train,site1/video1,42,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4104095399,>=0.05,yes
site1/train/video1frame043,EndoVis 2017,site1,train,site1/video1,43,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4141632020,>=0.05,yes
site1/train/video1frame044,EndoVis 2017,site1,train,site1/video1,44,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4173309207,>=0.05,yes
site1/train/video1frame045,EndoVis 2017,site1,train,site1/video1,45,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.4193634093,>=0.05,yes
site1/train/video1frame046,EndoVis 2017,site1,train,site1/video1,46,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2546874881,>=0.05,yes
site1/train/video1frame047,EndoVis 2017,site1,train,site1/video1,47,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1205932647,>=0.05,yes
site1/train/video1frame048,EndoVis 2017,site1,train,site1/video1,48,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1149322540,>=0.05,yes
site1/train/video1frame049,EndoVis 2017,site1,train,site1/video1,49,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0984893814,>=0.05,yes
site1/train/video1frame050,EndoVis 2017,site1,train,site1/video1,50,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0940826386,>=0.05,yes
site1/train/video1frame051,EndoVis 2017,site1,train,site1/video1,51,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0777618438,>=0.05,yes
site1/train/video1frame052,EndoVis 2017,site1,train,site1/video1,52,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0516723618,>=0.05,yes
site1/train/video1frame053,EndoVis 2017,site1,train,site1/video1,53,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0900543183,>=0.05,yes
site1/train/video1frame054,EndoVis 2017,site1,train,site1/video1,54,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0864898711,>=0.05,yes
site1/train/video1frame055,EndoVis 2017,site1,train,site1/video1,55,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0310760494,>=0.05,no
site1/train/video1frame056,EndoVis 2017,site1,train,site1/video1,56,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.3361023068,>=0.05,yes
site1/train/video1frame057,EndoVis 2017,site1,train,site1/video1,57,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.2636505067,>=0.05,yes
site1/train/video1frame058,EndoVis 2017,site1,train,site1/video1,58,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0728393570,>=0.05,yes
site1/train/video1frame059,EndoVis 2017,site1,train,site1/video1,59,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1376495361,>=0.05,yes
site1/train/video1frame060,EndoVis 2017,site1,train,site1/video1,60,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1215972900,>=0.05,yes
site1/train/video1frame061,EndoVis 2017,site1,train,site1/video1,61,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0642272979,>=0.05,yes
site1/train/video1frame062,EndoVis 2017,site1,train,site1/video1,62,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0882110596,>=0.05,yes
site1/train/video1frame063,EndoVis 2017,site1,train,site1/video1,63,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0712188706,>=0.05,yes
site1/train/video1frame064,EndoVis 2017,site1,train,site1/video1,64,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.0780029297,>=0.05,yes
site1/train/video1frame065,EndoVis 2017,site1,train,site1/video1,65,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1256317198,>=0.05,yes
site1/train/video1frame066,EndoVis 2017,site1,train,site1/video1,66,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1202331558,>=0.05,yes
site1/train/video1frame067,EndoVis 2017,site1,train,site1/video1,67,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1419677734,>=0.05,yes
site1/train/video1frame068,EndoVis 2017,site1,train,site1/video1,68,q8_mask_center_5pct_v1,x=25%-75%; y=25%-75%,0.1203308105,>=0.05,yes
