stratum,dimension,value,count,proportion
full_corpus,site,site1,2400,0.42613636363636365
full_corpus,site,site2,3232,0.5738636363636364
full_corpus,split,test,1597,0.28355823863636365
full_corpus,split,train,4035,0.7164417613636364
full_corpus,video_key,site1/video1,225,0.03995028409090909
full_corpus,video_key,site1/video10,300,0.053267045454545456
full_corpus,video_key,site1/video2,225,0.03995028409090909
full_corpus,video_key,site1/video3,225,0.03995028409090909
full_corpus,video_key,site1/video4,225,0.03995028409090909
full_corpus,video_key,site1/video5,225,0.03995028409090909
full_corpus,video_key,site1/video6,225,0.03995028409090909
full_corpus,video_key,site1/video7,225,0.03995028409090909
full_corpus,video_key,site1/video8,225,0.03995028409090909
full_corpus,video_key,site1/video9,300,0.053267045454545456
full_corpus,video_key,site2/video1,399,0.07084517045454546
full_corpus,video_key,site2/video10,149,0.026455965909090908
full_corpus,video_key,site2/video11,149,0.026455965909090908
full_corpus,video_key,site2/video12,149,0.026455965909090908
full_corpus,video_key,site2/video13,149,0.026455965909090908
full_corpus,video_key,site2/video14,149,0.026455965909090908
full_corpus,video_key,site2/video15,149,0.026455965909090908
full_corpus,video_key,site2/video16,149,0.026455965909090908
full_corpus,video_key,site2/video2,398,0.07066761363636363
full_corpus,video_key,site2/video3,398,0.07066761363636363
full_corpus,video_key,site2/video4,398,0.07066761363636363
full_corpus,video_key,site2/video5,149,0.026455965909090908
full_corpus,video_key,site2/video6,149,0.026455965909090908
full_corpus,video_key,site2/video7,149,0.026455965909090908
full_corpus,video_key,site2/video9,149,0.026455965909090908
representative_200,site,site1,80,0.4
representative_200,site,site2,120,0.6
representative_200,split,test,40,0.2
representative_200,split,train,160,0.8
representative_200,video_key,site1/video1,8,0.04
representative_200,video_key,site1/video10,8,0.04
representative_200,video_key,site1/video2,8,0.04
representative_200,video_key,site1/video3,8,0.04
representative_200,video_key,site1/video4,8,0.04
representative_200,video_key,site1/video5,8,0.04
representative_200,video_key,site1/video6,8,0.04
representative_200,video_key,site1/video7,8,0.04
representative_200,video_key,site1/video8,8,0.04
representative_200,video_key,site1/video9,8,0.04
representative_200,video_key,site2/video1,8,0.04
representative_200,video_key,site2/video10,8,0.04
representative_200,video_key,site2/video11,8,0.04
representative_200,video_key,site2/video12,8,0.04
representative_200,video_key,site2/video13,8,0.04
representative_200,video_key,site2/video14,8,0.04
representative_200,video_key,site2/video15,8,0.04
representative_200,video_key,site2/video16,8,0.04
representative_200,video_key,site2/video2,8,0.04
representative_200,video_key,site2/video3,8,0.04
representative_200,video_key,site2/video4,8,0.04
representative_200,video_key,site2/video5,8,0.04
representative_200,video_key,site2/video6,8,0.04
representative_200,video_key,site2/video7,8,0.04
representative_200,video_key,site2/video9,8,0.04
challenge_50,site,site1,15,0.3
challenge_50,site,site2,35,0.7
challenge_50,split,test,5,0.1
challenge_50,split,train,45,0.9
challenge_50,video_key,site1/video1,5,0.1
challenge_50,video_key,site1/video10,1,0.02
challenge_50,video_key,site1/video2,2,0.04
challenge_50,video_key,site1/video5,4,0.08
challenge_50,video_key,site1/video6,1,0.02
challenge_50,video_key,site1/video7,2,0.04
challenge_50,video_key,site2/video1,5,0.1
challenge_50,video_key,site2/video11,5,0.1
challenge_50,video_key,site2/video12,14,0.28
challenge_50,video_key,site2/video13,1,0.02
challenge_50,video_key,site2/video14,1,0.02
challenge_50,video_key,site2/video4,1,0.02
challenge_50,video_key,site2/video7,6,0.12
challenge_50,video_key,site2/video9,2,0.04
all_human_250,site,site1,95,0.38
all_human_250,site,site2,155,0.62
all_human_250,split,test,45,0.18
all_human_250,split,train,205,0.82
all_human_250,video_key,site1/video1,13,0.052
all_human_250,video_key,site1/video10,9,0.036
all_human_250,video_key,site1/video2,10,0.04
all_human_250,video_key,site1/video3,8,0.032
all_human_250,video_key,site1/video4,8,0.032
all_human_250,video_key,site1/video5,12,0.048
all_human_250,video_key,site1/video6,9,0.036
all_human_250,video_key,site1/video7,10,0.04
all_human_250,video_key,site1/video8,8,0.032
all_human_250,video_key,site1/video9,8,0.032
all_human_250,video_key,site2/video1,13,0.052
all_human_250,video_key,site2/video10,8,0.032
all_human_250,video_key,site2/video11,13,0.052
all_human_250,video_key,site2/video12,22,0.088
all_human_250,video_key,site2/video13,9,0.036
all_human_250,video_key,site2/video14,9,0.036
all_human_250,video_key,site2/video15,8,0.032
all_human_250,video_key,site2/video16,8,0.032
all_human_250,video_key,site2/video2,8,0.032
all_human_250,video_key,site2/video3,8,0.032
all_human_250,video_key,site2/video4,9,0.036
all_human_250,video_key,site2/video5,8,0.032
all_human_250,video_key,site2/video6,8,0.032
all_human_250,video_key,site2/video7,14,0.056
all_human_250,video_key,site2/video9,10,0.04
