field,label,full_n,full_proportion,representative_n,representative_proportion,difference_percentage_points
q4_bleeding,no,2901,0.5150923295454546,115,0.575,5.990767045454537
q4_bleeding,yes,2731,0.48490767045454547,85,0.425,-5.9907670454545485
q4_smoke,no,5612,0.9964488636363636,200,1.0,0.35511363636363535
q4_smoke,yes,20,0.0035511363636363635,0,0.0,-0.35511363636363635
q4_occlusion,no,5217,0.9263139204545454,187,0.935,0.8686079545454639
q4_occlusion,yes,415,0.07368607954545454,13,0.065,-0.8686079545454541
q5_value,blurry,406,0.07208806818181818,14,0.07,-0.208806818181817
q5_value,clear,5186,0.9208096590909091,186,0.93,0.9190340909090988
q5_value,mixed,40,0.007102272727272727,0,0.0,-0.7102272727272727
q6_glare,no,5497,0.9760298295454546,197,0.985,0.8970170454545401
q6_glare,yes,135,0.023970170454545456,3,0.015,-0.8970170454545456
q7_contrast_normal,no,270,0.04794034090909091,11,0.055,0.7059659090909088
q7_contrast_normal,yes,5362,0.9520596590909091,189,0.945,-0.705965909090911
q9_smoke_region,near instrument jaws,2,0.0003551136363636364,0,0.0,-0.03551136363636364
q9_smoke_region,none,5630,0.9996448863636364,200,1.0,0.035511363636364646
