direction,source_site,target_site,task,condition,source_train_n,source_train_videos,target_test_n,target_test_videos,source_classes,target_classes,test_evaluable,source_distribution,target_distribution,accuracy,macro_f1,balanced_accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high
site1_train_to_site2_test,site1,site2,q4.bleeding,majority_prior,1800,8,997,4,2,2,1,"{""no"": 997, ""yes"": 803}","{""no"": 277, ""yes"": 720}",0.2778335005015045,0.217425431711146,0.5,0.20883534136546184,0.3466933867735471,0.17275747508305647,0.2574404761904762,0.5,0.5
site1_train_to_site2_test,site1,site2,q4.bleeding,rgb_linear,1800,8,997,4,2,2,1,"{""no"": 997, ""yes"": 803}","{""no"": 277, ""yes"": 720}",0.5957873620862588,0.5637964670847859,0.5924187725631769,0.4859437751004016,0.7118473895582329,0.4736859487755338,0.6529557873820169,0.5100988480697385,0.6724506306007302
site1_train_to_site2_test,site1,site2,q4.bleeding,mask_linear,1800,8,997,4,2,2,1,"{""no"": 997, ""yes"": 803}","{""no"": 277, ""yes"": 720}",0.46439317953861586,0.4485482387451215,0.4847874047332531,0.39478957915831664,0.5451807228915663,0.3857707509881423,0.5275286253312966,0.39944314944314946,0.5611111111111111
site1_train_to_site2_test,site1,site2,q4.bleeding,rgb_mask_linear,1800,8,997,4,2,2,1,"{""no"": 997, ""yes"": 803}","{""no"": 277, ""yes"": 720}",0.5586760280842528,0.5308034568323778,0.5611712795828319,0.4453360080240722,0.6897590361445783,0.43525351302489934,0.6212891538101917,0.4696645392278954,0.6518109027547295
site1_train_to_site2_test,site1,site2,q4.smoke,majority_prior,1800,8,997,4,1,1,0,"{""no"": 1800}","{""no"": 997}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
site1_train_to_site2_test,site1,site2,q4.smoke,rgb_linear,1800,8,997,4,1,1,0,"{""no"": 1800}","{""no"": 997}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
site1_train_to_site2_test,site1,site2,q4.smoke,mask_linear,1800,8,997,4,1,1,0,"{""no"": 1800}","{""no"": 997}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
site1_train_to_site2_test,site1,site2,q4.smoke,rgb_mask_linear,1800,8,997,4,1,1,0,"{""no"": 1800}","{""no"": 997}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
site1_train_to_site2_test,site1,site2,q4.occlusion,majority_prior,1800,8,997,4,2,2,1,"{""no"": 1643, ""yes"": 157}","{""no"": 953, ""yes"": 44}",0.9558676028084253,0.4887179487179487,0.5,0.9129129129129129,0.9899598393574297,0.4772370486656201,0.49747729566094856,0.5,0.5
site1_train_to_site2_test,site1,site2,q4.occlusion,rgb_linear,1800,8,997,4,2,2,1,"{""no"": 1643, ""yes"": 157}","{""no"": 953, ""yes"": 44}",0.8004012036108324,0.5200295138678892,0.6137794524468186,0.7369477911646586,0.8585757271815446,0.45244049672300796,0.5738309692983615,0.5006085192697769,0.7159506466478371
