direction,task,condition,label,support,precision,recall,f1
site1_train_to_site2_test,q4.bleeding,majority_prior,no,277,0.2778335005015045,1.0,0.434850863422292
site1_train_to_site2_test,q4.bleeding,majority_prior,yes,720,0.0,0.0,0.0
site1_train_to_site2_test,q4.bleeding,rgb_linear,no,277,0.36,0.5848375451263538,0.4456671251719395
site1_train_to_site2_test,q4.bleeding,rgb_linear,yes,720,0.7897623400365631,0.6,0.6819258089976322
site1_train_to_site2_test,q4.bleeding,mask_linear,no,277,0.26678765880217786,0.5306859205776173,0.355072463768116
site1_train_to_site2_test,q4.bleeding,mask_linear,yes,720,0.7085201793721974,0.4388888888888889,0.5420240137221269
site1_train_to_site2_test,q4.bleeding,rgb_mask_linear,no,277,0.32914046121593293,0.5667870036101083,0.4164456233421751
site1_train_to_site2_test,q4.bleeding,rgb_mask_linear,yes,720,0.7692307692307693,0.5555555555555556,0.6451612903225806
site1_train_to_site2_test,q4.smoke,majority_prior,no,997,1.0,1.0,1.0
site1_train_to_site2_test,q4.smoke,rgb_linear,no,997,1.0,1.0,1.0
site1_train_to_site2_test,q4.smoke,mask_linear,no,997,1.0,1.0,1.0
site1_train_to_site2_test,q4.smoke,rgb_mask_linear,no,997,1.0,1.0,1.0
site1_train_to_site2_test,q4.occlusion,majority_prior,no,953,0.9558676028084253,1.0,0.9774358974358974
site1_train_to_site2_test,q4.occlusion,majority_prior,yes,44,0.0,0.0,0.0
site1_train_to_site2_test,q4.occlusion,rgb_linear,no,953,0.967741935483871,0.8184679958027282,0.8868675383740762
site1_train_to_site2_test,q4.occlusion,rgb_linear,yes,44,0.09424083769633508,0.4090909090909091,0.15319148936170213
site1_train_to_site2_test,q4.occlusion,mask_linear,no,953,0.9811023622047244,0.6537250786988458,0.7846347607052897
site1_train_to_site2_test,q4.occlusion,mask_linear,yes,44,0.08839779005524862,0.7272727272727273,0.15763546798029554
site1_train_to_site2_test,q4.occlusion,rgb_mask_linear,no,953,0.9676511954992968,0.7219307450157397,0.8269230769230769
site1_train_to_site2_test,q4.occlusion,rgb_mask_linear,yes,44,0.07342657342657342,0.4772727272727273,0.12727272727272726
site1_train_to_site2_test,q5,majority_prior,blurry,82,0.0,0.0,0.0
site1_train_to_site2_test,q5,majority_prior,clear,915,0.917753259779338,1.0,0.9571129707112971
site1_train_to_site2_test,q5,majority_prior,mixed,0,0.0,0.0,0.0
site1_train_to_site2_test,q5,rgb_linear,blurry,82,0.19083969465648856,0.3048780487804878,0.2347417840375587
site1_train_to_site2_test,q5,rgb_linear,clear,915,0.9335664335664335,0.8754098360655738,0.9035532994923858
site1_train_to_site2_test,q5,rgb_linear,mixed,0,0.0,0.0,0.0
site1_train_to_site2_test,q5,mask_linear,blurry,82,0.10677618069815195,0.6341463414634146,0.18277680140597538
site1_train_to_site2_test,q5,mask_linear,clear,915,0.9403578528827038,0.5169398907103825,0.6671368124118476
site1_train_to_site2_test,q5,mask_linear,mixed,0,0.0,0.0,0.0
site1_train_to_site2_test,q5,rgb_mask_linear,blurry,82,0.15979381443298968,0.3780487804878049,0.2246376811594203
site1_train_to_site2_test,q5,rgb_mask_linear,clear,915,0.9363867684478372,0.8043715846994536,0.8653733098177543
site1_train_to_site2_test,q5,rgb_mask_linear,mixed,0,0.0,0.0,0.0
site1_train_to_site2_test,q6,majority_prior,no,954,0.9568706118355065,1.0,0.9779600205023065
site1_train_to_site2_test,q6,majority_prior,yes,43,0.0,0.0,0.0
site1_train_to_site2_test,q6,rgb_linear,no,954,0.9563451776649746,0.9874213836477987,0.9716348633316142
site1_train_to_site2_test,q6,rgb_linear,yes,43,0.0,0.0,0.0
site1_train_to_site2_test,q6,mask_linear,no,954,0.9563829787234043,0.9423480083857443,0.9493136219640972
site1_train_to_site2_test,q6,mask_linear,yes,43,0.03508771929824561,0.046511627906976744,0.039999999999999994
site1_train_to_site2_test,q6,rgb_mask_linear,no,954,0.9563008130081301,0.9863731656184487,0.9711042311661507
site1_train_to_site2_test,q6,rgb_mask_linear,yes,43,0.0,0.0,0.0
site1_train_to_site2_test,q7,majority_prior,no,46,0.0,0.0,0.0
site1_train_to_site2_test,q7,majority_prior,yes,951,0.9538615847542627,1.0,0.9763860369609857
site1_train_to_site2_test,q7,rgb_linear,no,46,0.06746031746031746,0.3695652173913043,0.11409395973154363
site1_train_to_site2_test,q7,rgb_linear,yes,951,0.9610738255033557,0.7528916929547844,0.8443396226415095
site1_train_to_site2_test,q7,mask_linear,no,46,0.06493506493506493,0.5434782608695652,0.11600928074245936
site1_train_to_site2_test,q7,mask_linear,yes,951,0.9656862745098039,0.6214511041009464,0.7562380038387716
site1_train_to_site2_test,q7,rgb_mask_linear,no,46,0.07279693486590039,0.41304347826086957,0.1237785016286645
site1_train_to_site2_test,q7,rgb_mask_linear,yes,951,0.9633152173913043,0.7455310199789695,0.8405453467694131
site1_train_to_site2_test,q8.mask_center_5pct_v1,majority_prior,no,265,0.0,0.0,0.0
site1_train_to_site2_test,q8.mask_center_5pct_v1,majority_prior,yes,732,0.7342026078234705,1.0,0.8467322151532678
site1_train_to_site2_test,q8.mask_center_5pct_v1,rgb_linear,no,265,0.48787878787878786,0.6075471698113207,0.5411764705882353
site1_train_to_site2_test,q8.mask_center_5pct_v1,rgb_linear,yes,732,0.8440779610194903,0.7691256830601093,0.8048606147248035
site1_train_to_site2_test,q8.mask_center_5pct_v1,mask_linear,no,265,0.9625468164794008,0.969811320754717,0.9661654135338347
site1_train_to_site2_test,q8.mask_center_5pct_v1,mask_linear,yes,732,0.989041095890411,0.9863387978142076,0.9876880984952121
site1_train_to_site2_test,q8.mask_center_5pct_v1,rgb_mask_linear,no,265,0.8823529411764706,0.9056603773584906,0.893854748603352
site1_train_to_site2_test,q8.mask_center_5pct_v1,rgb_mask_linear,yes,732,0.9655172413793104,0.9562841530054644,0.9608785175017157
site1_train_to_site2_test,q9,majority_prior,none,997,1.0,1.0,1.0
site1_train_to_site2_test,q9,rgb_linear,none,997,1.0,1.0,1.0
site1_train_to_site2_test,q9,mask_linear,none,997,1.0,1.0,1.0
site1_train_to_site2_test,q9,rgb_mask_linear,none,997,1.0,1.0,1.0
site2_train_to_site1_test,q4.bleeding,majority_prior,no,397,0.6616666666666666,1.0,0.7963891675025075
site2_train_to_site1_test,q4.bleeding,majority_prior,yes,203,0.0,0.0,0.0
site2_train_to_site1_test,q4.bleeding,rgb_linear,no,397,0.6556291390728477,0.24937027707808565,0.36131386861313863
site2_train_to_site1_test,q4.bleeding,rgb_linear,yes,203,0.3363028953229399,0.7438423645320197,0.46319018404907975
site2_train_to_site1_test,q4.bleeding,mask_linear,no,397,0.6836461126005362,0.6423173803526449,0.6623376623376622
site2_train_to_site1_test,q4.bleeding,mask_linear,yes,203,0.3744493392070485,0.4187192118226601,0.3953488372093023
site2_train_to_site1_test,q4.bleeding,rgb_mask_linear,no,397,0.680628272251309,0.327455919395466,0.4421768707482993
site2_train_to_site1_test,q4.bleeding,rgb_mask_linear,yes,203,0.3471882640586797,0.6995073891625616,0.46405228758169936
site2_train_to_site1_test,q4.smoke,majority_prior,no,600,1.0,1.0,1.0
site2_train_to_site1_test,q4.smoke,majority_prior,yes,0,0.0,0.0,0.0
site2_train_to_site1_test,q4.smoke,rgb_linear,no,600,1.0,1.0,1.0
site2_train_to_site1_test,q4.smoke,rgb_linear,yes,0,0.0,0.0,0.0
site2_train_to_site1_test,q4.smoke,mask_linear,no,600,1.0,0.9966666666666667,0.9983305509181971
site2_train_to_site1_test,q4.smoke,mask_linear,yes,0,0.0,0.0,0.0
site2_train_to_site1_test,q4.smoke,rgb_mask_linear,no,600,1.0,1.0,1.0
site2_train_to_site1_test,q4.smoke,rgb_mask_linear,yes,0,0.0,0.0,0.0
site2_train_to_site1_test,q4.occlusion,majority_prior,no,582,0.97,1.0,0.9847715736040609
site2_train_to_site1_test,q4.occlusion,majority_prior,yes,18,0.0,0.0,0.0
site2_train_to_site1_test,q4.occlusion,rgb_linear,no,582,0.9672727272727273,0.9140893470790378,0.9399293286219081
site2_train_to_site1_test,q4.occlusion,rgb_linear,yes,18,0.0,0.0,0.0
site2_train_to_site1_test,q4.occlusion,mask_linear,no,582,0.9697478991596639,0.9914089347079038,0.9804587935429057
site2_train_to_site1_test,q4.occlusion,mask_linear,yes,18,0.0,0.0,0.0
site2_train_to_site1_test,q4.occlusion,rgb_mask_linear,no,582,0.9708904109589042,0.9742268041237113,0.9725557461406518
