sample_id,record_id,dataset,split,sequence_key,subset,task,human_original,machine_original,human_comparison,machine_comparison
HR0001,site1/test/video10frame026,EndoVis 2017,test,site1/test/video10,representative,q4.bleeding,no,no,no,no
HR0001,site1/test/video10frame026,EndoVis 2017,test,site1/test/video10,representative,q4.smoke,no,no,no,no
HR0001,site1/test/video10frame026,EndoVis 2017,test,site1/test/video10,representative,q4.occlusion,no,no,no,no
HR0001,site1/test/video10frame026,EndoVis 2017,test,site1/test/video10,representative,q5,clear,clear,clear,clear
HR0001,site1/test/video10frame026,EndoVis 2017,test,site1/test/video10,representative,q6,no,no,no,no
HR0001,site1/test/video10frame026,EndoVis 2017,test,site1/test/video10,representative,q7,yes,yes,yes,yes
HR0001,site1/test/video10frame026,EndoVis 2017,test,site1/test/video10,representative,q9,none,none,none,none
HR0002,site1/test/video10frame059,EndoVis 2017,test,site1/test/video10,representative,q4.bleeding,no,yes,no,yes
HR0002,site1/test/video10frame059,EndoVis 2017,test,site1/test/video10,representative,q4.smoke,no,no,no,no
HR0002,site1/test/video10frame059,EndoVis 2017,test,site1/test/video10,representative,q4.occlusion,no,no,no,no
HR0002,site1/test/video10frame059,EndoVis 2017,test,site1/test/video10,representative,q5,clear,clear,clear,clear
HR0002,site1/test/video10frame059,EndoVis 2017,test,site1/test/video10,representative,q6,no,no,no,no
HR0002,site1/test/video10frame059,EndoVis 2017,test,site1/test/video10,representative,q7,yes,yes,yes,yes
HR0002,site1/test/video10frame059,EndoVis 2017,test,site1/test/video10,representative,q9,none,none,none,none
HR0003,site1/test/video10frame111,EndoVis 2017,test,site1/test/video10,representative,q4.bleeding,no,no,no,no
HR0003,site1/test/video10frame111,EndoVis 2017,test,site1/test/video10,representative,q4.smoke,no,no,no,no
HR0003,site1/test/video10frame111,EndoVis 2017,test,site1/test/video10,representative,q4.occlusion,no,no,no,no
HR0003,site1/test/video10frame111,EndoVis 2017,test,site1/test/video10,representative,q5,clear,clear,clear,clear
HR0003,site1/test/video10frame111,EndoVis 2017,test,site1/test/video10,representative,q6,no,no,no,no
HR0003,site1/test/video10frame111,EndoVis 2017,test,site1/test/video10,representative,q7,yes,yes,yes,yes
HR0003,site1/test/video10frame111,EndoVis 2017,test,site1/test/video10,representative,q9,none,none,none,none
HR0004,site1/test/video10frame137,EndoVis 2017,test,site1/test/video10,representative,q4.bleeding,no,yes,no,yes
HR0004,site1/test/video10frame137,EndoVis 2017,test,site1/test/video10,representative,q4.smoke,no,no,no,no
HR0004,site1/test/video10frame137,EndoVis 2017,test,site1/test/video10,representative,q4.occlusion,no,no,no,no
HR0004,site1/test/video10frame137,EndoVis 2017,test,site1/test/video10,representative,q5,clear,clear,clear,clear
HR0004,site1/test/video10frame137,EndoVis 2017,test,site1/test/video10,representative,q6,no,no,no,no
HR0004,site1/test/video10frame137,EndoVis 2017,test,site1/test/video10,representative,q7,yes,yes,yes,yes
HR0004,site1/test/video10frame137,EndoVis 2017,test,site1/test/video10,representative,q9,none,none,none,none
HR0005,site1/test/video10frame138,EndoVis 2017,test,site1/test/video10,challenge,q4.bleeding,no,yes,no,yes
HR0005,site1/test/video10frame138,EndoVis 2017,test,site1/test/video10,challenge,q4.smoke,no,no,no,no
HR0005,site1/test/video10frame138,EndoVis 2017,test,site1/test/video10,challenge,q4.occlusion,no,yes,no,yes
HR0005,site1/test/video10frame138,EndoVis 2017,test,site1/test/video10,challenge,q5,clear,blurry,clear,degraded
HR0005,site1/test/video10frame138,EndoVis 2017,test,site1/test/video10,challenge,q6,no,yes,no,yes
HR0005,site1/test/video10frame138,EndoVis 2017,test,site1/test/video10,challenge,q7,yes,no,yes,no
HR0005,site1/test/video10frame138,EndoVis 2017,test,site1/test/video10,challenge,q9,none,none,none,none
HR0006,site1/test/video10frame167,EndoVis 2017,test,site1/test/video10,representative,q4.bleeding,no,no,no,no
HR0006,site1/test/video10frame167,EndoVis 2017,test,site1/test/video10,representative,q4.smoke,no,no,no,no
HR0006,site1/test/video10frame167,EndoVis 2017,test,site1/test/video10,representative,q4.occlusion,no,no,no,no
HR0006,site1/test/video10frame167,EndoVis 2017,test,site1/test/video10,representative,q5,clear,clear,clear,clear
HR0006,site1/test/video10frame167,EndoVis 2017,test,site1/test/video10,representative,q6,no,no,no,no
HR0006,site1/test/video10frame167,EndoVis 2017,test,site1/test/video10,representative,q7,yes,yes,yes,yes
HR0006,site1/test/video10frame167,EndoVis 2017,test,site1/test/video10,representative,q9,none,none,none,none
HR0007,site1/test/video10frame225,EndoVis 2017,test,site1/test/video10,representative,q4.bleeding,no,yes,no,yes
HR0007,site1/test/video10frame225,EndoVis 2017,test,site1/test/video10,representative,q4.smoke,no,no,no,no
HR0007,site1/test/video10frame225,EndoVis 2017,test,site1/test/video10,representative,q4.occlusion,no,no,no,no
HR0007,site1/test/video10frame225,EndoVis 2017,test,site1/test/video10,representative,q5,clear,clear,clear,clear
HR0007,site1/test/video10frame225,EndoVis 2017,test,site1/test/video10,representative,q6,no,no,no,no
HR0007,site1/test/video10frame225,EndoVis 2017,test,site1/test/video10,representative,q7,yes,yes,yes,yes
