subset,task,n,fixed_labels,observed_human_classes,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy,balanced_accuracy_status,sequence_clusters,bootstrap_replicates
all,q4.bleeding,248,no | yes,2,0.7298387096774194,,,0.6786259984913834,,,0.8279010633379565,reported,,0
all,q4.smoke,248,no | yes,2,0.9637096774193549,,,0.8539171411741606,,,0.9136141636141636,reported,,0
all,q4.occlusion,248,no | yes,2,0.8508064516129032,,,0.5289285897633349,,,0.9244897959183673,reported,,0
all,q5,248,clear | degraded,2,0.8387096774193549,,,0.7019230769230769,,,0.7844155844155845,reported,,0
all,q6,248,no | yes,2,0.7661290322580645,,,0.5762931542358901,,,0.5702308054639661,reported,,0
all,q7,248,no | yes,1,0.8024193548387096,,,0.4451901565995526,,,,not applicable: one observed human class,,0
all,q9,248,none | smoke present,2,0.9516129032258065,,,0.6125,,,0.5714285714285714,reported,,0
representative,q4.bleeding,200,no | yes,2,0.715,0.6299958563535911,0.7884664948453608,0.6521739130434783,0.542964271089271,0.7388296571500724,0.8186274509803921,reported,29,2000
representative,q4.smoke,200,no | yes,2,0.99,0.9748711994315009,1.0,0.49748743718592964,0.4936378633763496,0.5,0.5,reported,29,2000
representative,q4.occlusion,200,no | yes,2,0.94,0.9029007814349989,0.9739617066062176,0.5558845299777943,0.4773857960497351,0.6849409306146115,0.9698492462311558,reported,29,2000
representative,q5,200,clear | degraded,2,0.915,0.8737864077669902,0.9521588061061744,0.662396981431834,0.5572249187438733,0.7386858507980699,0.6682435211846977,reported,29,2000
representative,q6,200,no | yes,2,0.8,0.7197803442028985,0.8780552329332817,0.4679436020218143,0.4281159259915015,0.5181359122776673,0.5066093326962892,reported,29,2000
representative,q7,200,no | yes,1,0.945,0.9047559224694903,0.9789501240011023,0.48586118251928023,0.4749983509234829,0.4946815546549589,,not applicable: one observed human class,29,2000
representative,q9,200,none | smoke present,2,0.99,0.975,1.0,0.49748743718592964,0.49367088607594933,0.5,0.5,reported,29,2000
challenge,q4.bleeding,48,no | yes,2,0.7916666666666666,,,0.7722960151802656,,,0.8611111111111112,reported,,0
challenge,q4.smoke,48,no | yes,2,0.8541666666666666,,,0.8332506203473946,,,0.9027777777777778,reported,,0
challenge,q4.occlusion,48,no | yes,2,0.4791666666666667,,,0.38239835306227477,,,0.7282608695652174,reported,,0
challenge,q5,48,clear | degraded,2,0.5208333333333334,,,0.515577007459412,,,0.6515151515151515,reported,,0
challenge,q6,48,no | yes,2,0.625,,,0.6142857142857143,,,0.640625,reported,,0
challenge,q7,48,no | yes,1,0.20833333333333334,,,0.1724137931034483,,,,not applicable: one observed human class,,0
challenge,q9,48,none | smoke present,2,0.7916666666666666,,,0.5818815331010454,,,0.5833333333333334,reported,,0
