task,condition,n,sequence_clusters,fixed_labels,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy,observed_human_classes
q4.bleeding,majority_prior,40,6,no | yes,0.7,0.48484848484848486,0.8863636363636364,0.4117647058823529,0.326530612244898,0.46987951807228917,0.5,2
q4.bleeding,rgb_linear,40,6,no | yes,0.55,0.4166666666666667,0.7437499999999991,0.5396419437340154,0.36923076923076925,0.743421052631579,0.5833333333333333,2
q4.bleeding,mask_linear,40,6,no | yes,0.575,0.431549043062201,0.7,0.5615731785944552,0.41428571428571426,0.6530264279624893,0.6011904761904762,2
q4.bleeding,rgb_mask_linear,40,6,no | yes,0.65,0.5531774916013439,0.7896086369770573,0.6354166666666667,0.47588932806324113,0.7871148459383754,0.6785714285714286,2
q5,majority_prior,40,6,clear | degraded,0.975,0.9285714285714286,1.0,0.49367088607594933,0.4814814814814815,0.5,0.5,2
q5,rgb_linear,40,6,clear | degraded,0.925,0.8611111111111112,0.9772727272727273,0.48051948051948057,0.4626865671641791,0.4942528735632184,0.47435897435897434,2
q5,mask_linear,40,6,clear | degraded,0.7,0.5788676236044658,0.8206249999999994,0.4117647058823529,0.3666346153846154,0.4507379895813234,0.358974358974359,2
q5,rgb_mask_linear,40,6,clear | degraded,0.95,0.8863474025974026,1.0,0.48717948717948717,0.46987495436290616,0.5,0.48717948717948717,2
q6,majority_prior,40,6,no | yes,0.8,0.6857142857142857,0.9024970963995351,0.4444444444444445,0.4067796610169492,0.47437499999999994,0.5,2
q6,rgb_linear,40,6,no | yes,0.825,0.7297297297297297,0.9090909090909091,0.5618153364632238,0.4305555555555556,0.7222222222222222,0.5625,2
q6,mask_linear,40,6,no | yes,0.675,0.5454545454545454,0.7674418604651163,0.5144724556489262,0.3913043478260869,0.5803066989507668,0.515625,2
q6,rgb_mask_linear,40,6,no | yes,0.825,0.7297297297297297,0.9111111111111111,0.5618153364632238,0.42857142857142855,0.7222222222222222,0.5625,2
