task_set,comparison,delta_macro_f1,ci_low,ci_high,bootstrap_unit,bootstrap_replicates
candidate_visual_five,rgb_linear_minus_majority_prior,0.11126040645234203,0.059088399920202116,0.1484920491550936,shared_video_key_across_tasks,5000
candidate_visual_five,mask_linear_minus_majority_prior,0.04736780662001916,0.021962817914254352,0.05829376258419126,shared_video_key_across_tasks,5000
candidate_visual_five,rgb_mask_linear_minus_rgb_linear,0.003531732571629753,-0.007474189958198351,0.01728279809861515,shared_video_key_across_tasks,5000
candidate_visual_five,rgb_mask_linear_minus_mask_linear,0.06742433240395262,0.0273886579688154,0.1141583981240101,shared_video_key_across_tasks,5000
discriminative_without_q8,rgb_linear_minus_majority_prior,0.1034207294085977,0.0757504120637608,0.14063590992250047,video_key_within_task,5000
discriminative_without_q8,mask_linear_minus_majority_prior,0.04156202505114309,0.013754142793880165,0.059984098920542,video_key_within_task,5000
discriminative_without_q8,rgb_mask_linear_minus_rgb_linear,0.006503141337157181,-0.023246221297010906,0.01565590148283384,video_key_within_task,5000
discriminative_without_q8,rgb_mask_linear_minus_mask_linear,0.06836184569461179,0.04261762876297103,0.0996893889588975,video_key_within_task,5000
direct_mask_tasks,rgb_linear_minus_majority_prior,0.20082568446064392,0.13309766176713908,0.312703970012081,video_key_within_task,5000
direct_mask_tasks,mask_linear_minus_majority_prior,0.2826823498343675,0.24210199118899306,0.32104989948150175,video_key_within_task,5000
direct_mask_tasks,rgb_mask_linear_minus_rgb_linear,0.09279795525838797,0.00799452047027239,0.12445173584291772,video_key_within_task,5000
direct_mask_tasks,rgb_mask_linear_minus_mask_linear,0.010941289884664362,-0.029722735493066206,0.06392391056341541,video_key_within_task,5000
