task,condition,metric,estimate,ci_2.5,ci_97.5,bootstrap_unit,test_video_count,replicates,seed
q2,majority_prior,accuracy,0.7392176529588766,0.5811623246492986,0.8975903614457831,video_key,4,1000,20260824
q2,majority_prior,macro_f1_fixed_labels,0.21251441753171857,0.18377693282636248,0.2365079365079365,video_key,4,1000,20260824
q2,majority_prior,balanced_accuracy_fixed_labels,0.25,0.25,0.25,video_key,4,1000,20260824
q2,rgb_linear,accuracy,0.7181544633901705,0.5691382765531062,0.8674698795180723,video_key,4,1000,20260824
q2,rgb_linear,macro_f1_fixed_labels,0.27673676172159484,0.24099899432814004,0.5066127277357224,video_key,4,1000,20260824
q2,rgb_linear,balanced_accuracy_fixed_labels,0.33246405277895025,0.2617111434295293,0.5442825270411478,video_key,4,1000,20260824
q2,mask_linear,accuracy,0.3831494483450351,0.25425425425425424,0.4822289156626503,video_key,4,1000,20260824
q2,mask_linear,macro_f1_fixed_labels,0.22504753473848135,0.1674919749670909,0.2714776632302406,video_key,4,1000,20260824
q2,mask_linear,balanced_accuracy_fixed_labels,0.20425975777140515,0.1302130569886558,0.29265937843065504,video_key,4,1000,20260824
q2,rgb_mask_linear,accuracy,0.7301905717151455,0.5831663326653307,0.8775100401606426,video_key,4,1000,20260824
q2,rgb_mask_linear,macro_f1_fixed_labels,0.2980969468863889,0.2511753366183746,0.3652579485913368,video_key,4,1000,20260824
q2,rgb_mask_linear,balanced_accuracy_fixed_labels,0.3408695764411345,0.2605864493448386,0.5816235514511376,video_key,4,1000,20260824
q4.bleeding,majority_prior,accuracy,0.42204132748904194,0.2595840888638165,0.5945284634185986,video_key,6,1000,20260825
q4.bleeding,majority_prior,macro_f1_fixed_labels,0.29678555702333775,0.2060868564041792,0.3728553110350627,video_key,6,1000,20260825
q4.bleeding,majority_prior,balanced_accuracy_fixed_labels,0.5,0.5,0.5,video_key,6,1000,20260825
q4.bleeding,rgb_linear,accuracy,0.580463368816531,0.5171521035598705,0.6612798965740142,video_key,6,1000,20260825
q4.bleeding,rgb_linear,macro_f1_fixed_labels,0.5790357862268665,0.5152131502055147,0.637543510341984,video_key,6,1000,20260825
q4.bleeding,rgb_linear,balanced_accuracy_fixed_labels,0.585620203760798,0.52656799589976,0.6431646567391981,video_key,6,1000,20260825
