task,condition,eligible_sites,train_n,test_n,train_classes,test_classes,fixed_label_count,degenerate_test_missing_class,accuracy,macro_f1_fixed_labels,balanced_accuracy_fixed_labels
q2,majority_prior,site2,2235,997,4,4,4,0,0.7392176529588766,0.21251441753171857,0.25
q2,rgb_linear,site2,2235,997,4,4,4,0,0.7181544633901705,0.27673676172159484,0.33246405277895025
q2,mask_linear,site2,2235,997,4,4,4,0,0.3831494483450351,0.22504753473848135,0.20425975777140515
q2,rgb_mask_linear,site2,2235,997,4,4,4,0,0.7301905717151455,0.2980969468863889,0.3408695764411345
q4.bleeding,majority_prior,site1 | site2,4035,1597,2,2,2,0,0.42204132748904194,0.29678555702333775,0.5
q4.bleeding,rgb_linear,site1 | site2,4035,1597,2,2,2,0,0.580463368816531,0.5790357862268665,0.585620203760798
q4.bleeding,mask_linear,site1 | site2,4035,1597,2,2,2,0,0.5203506574827802,0.520348964868256,0.5336158700663235
q4.bleeding,rgb_mask_linear,site1 | site2,4035,1597,2,2,2,0,0.5729492798998121,0.572929018212845,0.5861241404142729
q4.smoke,majority_prior,site1 | site2,4035,1597,2,1,2,1,1.0,0.5,0.5
q4.smoke,rgb_linear,site1 | site2,4035,1597,2,1,2,1,1.0,0.5,0.5
q4.smoke,mask_linear,site1 | site2,4035,1597,2,1,2,1,0.9818409517845961,0.49541864139020536,0.49092047589229804
q4.smoke,rgb_mask_linear,site1 | site2,4035,1597,2,1,2,1,1.0,0.5,0.5
q4.occlusion,majority_prior,site1 | site2,4035,1597,2,2,2,0,0.9611772072636193,0.4901021711366539,0.5
q4.occlusion,rgb_linear,site1 | site2,4035,1597,2,2,2,0,0.9110832811521603,0.5539176344695181,0.5745455500682988
q4.occlusion,mask_linear,site1 | site2,4035,1597,2,2,2,0,0.8290544771446462,0.5349580644025818,0.6402175055164443
q4.occlusion,rgb_mask_linear,site1 | site2,4035,1597,2,2,2,0,0.9160926737633062,0.5693512034130243,0.5926289797205002
q5,majority_prior,site1 | site2,4035,1597,3,2,3,1,0.9442705072010019,0.3237788513150832,0.3333333333333333
q5,rgb_linear,site1 | site2,4035,1597,3,2,3,1,0.926111458985598,0.4179044366401392,0.41150567758471673
q5,mask_linear,site1 | site2,4035,1597,3,2,3,1,0.6361928616155291,0.31435469015341216,0.4043180440894505
q5,rgb_mask_linear,site1 | site2,4035,1597,3,2,3,1,0.9229805886036319,0.4056870834827074,0.3998276358795538
q6,majority_prior,site1 | site2,4035,1597,2,2,2,0,0.9724483406386976,0.493015873015873,0.5
q6,rgb_linear,site1 | site2,4035,1597,2,2,2,0,0.9592986850344396,0.5318468608641925,0.5263639290522741
q6,mask_linear,site1 | site2,4035,1597,2,2,2,0,0.7557921102066374,0.4820488853111216,0.6425613182696248
q6,rgb_mask_linear,site1 | site2,4035,1597,2,2,2,0,0.9599248591108328,0.5453057157093032,0.5377275654159105
q7,majority_prior,site1 | site2,4035,1597,2,2,2,0,0.9705698184095178,0.4925325707022561,0.5
q7,rgb_linear,site1 | site2,4035,1597,2,2,2,0,0.954915466499687,0.5698123372541978,0.5641455044612217
q7,mask_linear,site1 | site2,4035,1597,2,2,2,0,0.7470256731371321,0.4813434515579279,0.6427316403568977
q7,rgb_mask_linear,site1 | site2,4035,1597,2,2,2,0,0.9586725109580463,0.5769026974951831,0.5660809883321894
q8.mask_center_5pct_v1,majority_prior,site1 | site2,4035,1597,2,2,2,0,0.7532874139010645,0.42964285714285716,0.5
q8.mask_center_5pct_v1,rgb_linear,site1 | site2,4035,1597,2,2,2,0,0.8015028177833438,0.7670718818742688,0.8161881674831534
q8.mask_center_5pct_v1,mask_linear,site1 | site2,4035,1597,2,2,2,0,0.986850344395742,0.9824744396048296,0.9870047807722656
q8.mask_center_5pct_v1,rgb_mask_linear,site1 | site2,4035,1597,2,2,2,0,0.947401377582968,0.9313076072262505,0.9446054913477727
q9,majority_prior,site1 | site2,4035,1597,2,1,2,1,1.0,0.5,0.5
q9,rgb_linear,site1 | site2,4035,1597,2,1,2,1,1.0,0.5,0.5
q9,mask_linear,site1 | site2,4035,1597,2,1,2,1,1.0,0.5,0.5
q9,rgb_mask_linear,site1 | site2,4035,1597,2,1,2,1,1.0,0.5,0.5
