task,condition,dataset,test_n,test_video_count,test_classes,macro_f1_fixed_global_labels
q2,majority_prior,EndoVis 2018,997,4,4,0.21251441753171857
q2,mask_linear,EndoVis 2018,997,4,4,0.22504753473848135
q2,rgb_linear,EndoVis 2018,997,4,4,0.27673676172159484
q2,rgb_mask_linear,EndoVis 2018,997,4,4,0.2980969468863889
q4.bleeding,majority_prior,EndoVis 2017,600,2,2,0.3981945837512538
q4.bleeding,mask_linear,EndoVis 2017,600,2,2,0.5305164319248826
q4.bleeding,rgb_linear,EndoVis 2017,600,2,2,0.5123434411947001
q4.bleeding,rgb_mask_linear,EndoVis 2017,600,2,2,0.5099810246679317
q4.bleeding,majority_prior,EndoVis 2018,997,4,2,0.217425431711146
q4.bleeding,mask_linear,EndoVis 2018,997,4,2,0.47502819330657736
q4.bleeding,rgb_linear,EndoVis 2018,997,4,2,0.5853238265002971
q4.bleeding,rgb_mask_linear,EndoVis 2018,997,4,2,0.5708198658971684
q4.occlusion,majority_prior,EndoVis 2017,600,2,2,0.49238578680203043
q4.occlusion,mask_linear,EndoVis 2017,600,2,2,0.5152220283110336
q4.occlusion,rgb_linear,EndoVis 2017,600,2,2,0.49583090944347485
q4.occlusion,rgb_mask_linear,EndoVis 2017,600,2,2,0.4805194805194805
q4.occlusion,majority_prior,EndoVis 2018,997,4,2,0.4887179487179487
q4.occlusion,mask_linear,EndoVis 2018,997,4,2,0.5267871775716052
q4.occlusion,rgb_linear,EndoVis 2018,997,4,2,0.5813269876819709
q4.occlusion,rgb_mask_linear,EndoVis 2018,997,4,2,0.6023170868347338
q4.smoke,majority_prior,EndoVis 2017,600,2,1,0.5
q4.smoke,mask_linear,EndoVis 2017,600,2,1,0.4991652754590985
q4.smoke,rgb_linear,EndoVis 2017,600,2,1,0.5
q4.smoke,rgb_mask_linear,EndoVis 2017,600,2,1,0.5
q4.smoke,majority_prior,EndoVis 2018,997,4,1,0.5
q4.smoke,mask_linear,EndoVis 2018,997,4,1,0.4931367564819522
q4.smoke,rgb_linear,EndoVis 2018,997,4,1,0.5
q4.smoke,rgb_mask_linear,EndoVis 2018,997,4,1,0.5
q5,majority_prior,EndoVis 2017,600,2,2,0.33137747974294496
q5,mask_linear,EndoVis 2017,600,2,2,0.29453629453629454
q5,rgb_linear,EndoVis 2017,600,2,2,0.36545402612240663
q5,rgb_mask_linear,EndoVis 2017,600,2,2,0.3534751773049645
q5,majority_prior,EndoVis 2018,997,4,2,0.3190376569037657
q5,mask_linear,EndoVis 2018,997,4,2,0.30719154835317175
q5,rgb_linear,EndoVis 2018,997,4,2,0.429351370641246
q5,rgb_mask_linear,EndoVis 2018,997,4,2,0.4119725466285196
q6,majority_prior,EndoVis 2017,600,2,2,0.49958298582151794
q6,mask_linear,EndoVis 2017,600,2,2,0.46308253790005616
q6,rgb_linear,EndoVis 2017,600,2,2,0.49958298582151794
q6,rgb_mask_linear,EndoVis 2017,600,2,2,0.49958298582151794
q6,majority_prior,EndoVis 2018,997,4,2,0.48898001025115323
q6,mask_linear,EndoVis 2018,997,4,2,0.4796224609629855
q6,rgb_linear,EndoVis 2018,997,4,2,0.5262251262251262
q6,rgb_mask_linear,EndoVis 2018,997,4,2,0.539957372942805
q7,majority_prior,EndoVis 2017,600,2,2,0.49958298582151794
q7,mask_linear,EndoVis 2017,600,2,2,0.4795943148570041
q7,rgb_linear,EndoVis 2017,600,2,2,0.4957983193277311
q7,rgb_mask_linear,EndoVis 2017,600,2,2,0.4966442953020134
q7,majority_prior,EndoVis 2018,997,4,2,0.4881930184804928
q7,mask_linear,EndoVis 2018,997,4,2,0.46192887572197916
q7,rgb_linear,EndoVis 2018,997,4,2,0.5759425937105538
q7,rgb_mask_linear,EndoVis 2018,997,4,2,0.5821337726904845
q8.mask_center_5pct_v1,majority_prior,EndoVis 2017,600,2,2,0.43977591036414565
q8.mask_center_5pct_v1,mask_linear,EndoVis 2017,600,2,2,0.9782060336999294
q8.mask_center_5pct_v1,rgb_linear,EndoVis 2017,600,2,2,0.7188715635317577
q8.mask_center_5pct_v1,rgb_mask_linear,EndoVis 2017,600,2,2,0.9143133438605511
q8.mask_center_5pct_v1,majority_prior,EndoVis 2018,997,4,2,0.4233661075766339
q8.mask_center_5pct_v1,mask_linear,EndoVis 2018,997,4,2,0.9846544559027244
q8.mask_center_5pct_v1,rgb_linear,EndoVis 2018,997,4,2,0.7893220034169589
q8.mask_center_5pct_v1,rgb_mask_linear,EndoVis 2018,997,4,2,0.9393622316307393
q9,majority_prior,EndoVis 2017,600,2,1,0.5
q9,mask_linear,EndoVis 2017,600,2,1,0.5
q9,rgb_linear,EndoVis 2017,600,2,1,0.5
q9,rgb_mask_linear,EndoVis 2017,600,2,1,0.5
q9,majority_prior,EndoVis 2018,997,4,1,0.5
q9,mask_linear,EndoVis 2018,997,4,1,0.5
q9,rgb_linear,EndoVis 2018,997,4,1,0.5
q9,rgb_mask_linear,EndoVis 2018,997,4,1,0.5
