task,condition_a,condition_b,delta_macro_f1_a_minus_b,ci_2.5,ci_97.5,direction_clear_at_95pct,test_video_count,bootstrap_design
q2,rgb_linear,majority_prior,0.06422234418987627,0.033584047184932186,0.29110531610516366,1,4,task_specific_video_bootstrap
q4.bleeding,rgb_linear,majority_prior,0.2822502292035287,0.17133463341467925,0.38266433973240255,1,6,task_specific_video_bootstrap
q4.occlusion,rgb_linear,majority_prior,0.06381546333286425,0.00966976659638169,0.12160726382936532,1,6,task_specific_video_bootstrap
q4.smoke,rgb_linear,majority_prior,0.0,0.0,0.0,0,6,task_specific_video_bootstrap
q5,rgb_linear,majority_prior,0.094125585325056,0.03677447379546617,0.1481439997975042,1,6,task_specific_video_bootstrap
q6,rgb_linear,majority_prior,0.03883098784831951,-0.0019980850634952474,0.07069039676570789,0,6,task_specific_video_bootstrap
q7,rgb_linear,majority_prior,0.07727976655194169,0.019906632724959794,0.11563822533640189,1,6,task_specific_video_bootstrap
q8.mask_center_5pct_v1,rgb_linear,majority_prior,0.3374290247314116,0.20484688745233803,0.46586597297812543,1,6,task_specific_video_bootstrap
q9,rgb_linear,majority_prior,0.0,0.0,0.0,0,6,task_specific_video_bootstrap
MEAN_TEST_EVALUABLE_TASKS,rgb_linear,majority_prior,0.10342072940859774,0.07616582798625804,0.14321515908142726,1,task-specific,task_stratified_video_bootstrap
q2,mask_linear,majority_prior,0.012533117206762784,-0.045744884299101174,0.061200532713040046,0,4,task_specific_video_bootstrap
q4.bleeding,mask_linear,majority_prior,0.22356340784491824,0.14698326777773785,0.2910472977958702,1,6,task_specific_video_bootstrap
q4.occlusion,mask_linear,majority_prior,0.04485589326592787,-0.028814016544716214,0.12248858612581243,0,6,task_specific_video_bootstrap
q4.smoke,mask_linear,majority_prior,-0.004581358609794639,-0.011538461538461553,-0.0004557746813975793,1,6,task_specific_video_bootstrap
q5,mask_linear,majority_prior,-0.009424161161671052,-0.048892668249512494,0.012404505365765206,0,6,task_specific_video_bootstrap
q6,mask_linear,majority_prior,-0.010966987704751407,-0.04751204621877381,0.01795569335376912,0,6,task_specific_video_bootstrap
q7,mask_linear,majority_prior,-0.011189119144328186,-0.04829521792296748,0.017332766330782956,0,6,task_specific_video_bootstrap
q8.mask_center_5pct_v1,mask_linear,majority_prior,0.5528315824619725,0.5089943707471836,0.6151524338226931,1,6,task_specific_video_bootstrap
q9,mask_linear,majority_prior,0.0,0.0,0.0,0,6,task_specific_video_bootstrap
MEAN_TEST_EVALUABLE_TASKS,mask_linear,majority_prior,0.04156202505114304,0.014110690028057529,0.05957065145349986,1,task-specific,task_stratified_video_bootstrap
q2,rgb_mask_linear,rgb_linear,0.021360185164794043,-0.1413547791443856,0.049079467940709276,0,4,task_specific_video_bootstrap
q4.bleeding,rgb_mask_linear,rgb_linear,-0.006106768014021435,-0.022058146307671497,0.01278001735505685,0,6,task_specific_video_bootstrap
q4.occlusion,rgb_mask_linear,rgb_linear,0.015433568943506115,-0.011439524715875171,0.05192275324465201,0,6,task_specific_video_bootstrap
q4.smoke,rgb_mask_linear,rgb_linear,0.0,0.0,0.0,0,6,task_specific_video_bootstrap
q5,rgb_mask_linear,rgb_linear,-0.012217353157431832,-0.028053404761388345,0.0012955960046684423,0,6,task_specific_video_bootstrap
q6,rgb_mask_linear,rgb_linear,0.013458854845110668,-0.0045600558872298524,0.02839851024208573,0,6,task_specific_video_bootstrap
q7,rgb_mask_linear,rgb_linear,0.007090360240985305,-0.020971632605349733,0.04208828207486892,0,6,task_specific_video_bootstrap
q8.mask_center_5pct_v1,rgb_mask_linear,rgb_linear,0.16423572535198172,0.1191501801896333,0.22509958678629394,1,6,task_specific_video_bootstrap
q9,rgb_mask_linear,rgb_linear,0.0,0.0,0.0,0,6,task_specific_video_bootstrap
MEAN_TEST_EVALUABLE_TASKS,rgb_mask_linear,rgb_linear,0.006503141337157144,-0.022592549604319674,0.01599016666887857,0,task-specific,task_stratified_video_bootstrap
q2,rgb_mask_linear,mask_linear,0.07304941214790753,-0.0011678361197167142,0.18239156145057425,0,4,task_specific_video_bootstrap
q4.bleeding,rgb_mask_linear,mask_linear,0.05258005334458904,-0.017053203221617408,0.12218256742638473,0,6,task_specific_video_bootstrap
q4.occlusion,rgb_mask_linear,mask_linear,0.0343931390104425,-0.02829612432126727,0.11390807703671152,0,6,task_specific_video_bootstrap
q4.smoke,rgb_mask_linear,mask_linear,0.004581358609794639,0.0004557746813975791,0.011538461538461553,1,6,task_specific_video_bootstrap
q5,rgb_mask_linear,mask_linear,0.09133239332929521,0.03981445188387961,0.16996769321878158,1,6,task_specific_video_bootstrap
q6,rgb_mask_linear,mask_linear,0.06325683039818158,0.016556817524151446,0.11564362107022097,1,6,task_specific_video_bootstrap
q7,rgb_mask_linear,mask_linear,0.09555924593725518,0.03612239707018444,0.1676788587448304,1,6,task_specific_video_bootstrap
q8.mask_center_5pct_v1,rgb_mask_linear,mask_linear,-0.05116683237857911,-0.09385933236268407,-0.02694866863148158,1,6,task_specific_video_bootstrap
q9,rgb_mask_linear,mask_linear,0.0,0.0,0.0,0,6,task_specific_video_bootstrap
MEAN_TEST_EVALUABLE_TASKS,rgb_mask_linear,mask_linear,0.06836184569461183,0.04243826693752811,0.10115523702221478,1,task-specific,task_stratified_video_bootstrap
