task,condition,label,train_support,test_support,precision,recall,f1,predicted_support
q2,majority_prior,covered kidney (fat/fascia-covered kidney),152,42,0.0,0.0,0.0,0
q2,majority_prior,kidney (parenchyma),405,214,0.0,0.0,0.0,0
q2,majority_prior,other abdominal soft tissue (peritoneum/mesentery/fat),1589,737,0.7392176529588766,1.0,0.8500576701268743,997
q2,majority_prior,small intestine,89,4,0.0,0.0,0.0,0
q2,rgb_linear,covered kidney (fat/fascia-covered kidney),152,42,0.17391304347826086,0.09523809523809523,0.12307692307692308,23
q2,rgb_linear,kidney (parenchyma),405,214,0.375,0.028037383177570093,0.05217391304347826,16
q2,rgb_linear,other abdominal soft tissue (peritoneum/mesentery/fat),1589,737,0.75,0.9565807327001357,0.8407871198568873,940
q2,rgb_linear,small intestine,89,4,0.05555555555555555,0.25,0.09090909090909091,18
q2,mask_linear,covered kidney (fat/fascia-covered kidney),152,42,0.028169014084507043,0.09523809523809523,0.043478260869565216,142
q2,mask_linear,kidney (parenchyma),405,214,0.2850678733031674,0.29439252336448596,0.2896551724137931,221
q2,mask_linear,other abdominal soft tissue (peritoneum/mesentery/fat),1589,737,0.8422459893048129,0.42740841248303935,0.5670567056705671,374
q2,mask_linear,small intestine,89,4,0.0,0.0,0.0,260
q2,rgb_mask_linear,covered kidney (fat/fascia-covered kidney),152,42,0.13043478260869565,0.07142857142857142,0.09230769230769231,23
q2,rgb_mask_linear,kidney (parenchyma),405,214,0.5454545454545454,0.08411214953271028,0.145748987854251,33
q2,rgb_mask_linear,other abdominal soft tissue (peritoneum/mesentery/fat),1589,737,0.7624190064794817,0.9579375848032564,0.8490679494888755,926
q2,rgb_mask_linear,small intestine,89,4,0.06666666666666667,0.25,0.10526315789473684,15
q4.bleeding,majority_prior,no,2227,674,0.42204132748904194,1.0,0.5935711140466755,1597
q4.bleeding,majority_prior,yes,1808,923,0.0,0.0,0.0,0
q4.bleeding,rgb_linear,no,2227,674,0.5024096385542168,0.6186943620178041,0.5545212765957447,830
q4.bleeding,rgb_linear,yes,1808,923,0.6649282920469362,0.5525460455037919,0.6035502958579881,767
q4.bleeding,mask_linear,no,2227,674,0.4503239740820734,0.6186943620178041,0.52125,926
q4.bleeding,mask_linear,yes,1808,923,0.61698956780924,0.4485373781148429,0.5194479297365119,671
q4.bleeding,rgb_mask_linear,no,2227,674,0.4956140350877193,0.6706231454005934,0.5699873896595208,912
q4.bleeding,rgb_mask_linear,yes,1808,923,0.6759124087591241,0.5016251354279523,0.5758706467661692,685
q4.smoke,majority_prior,no,4015,1597,1.0,1.0,1.0,1597
q4.smoke,majority_prior,yes,20,0,0.0,0.0,0.0,0
q4.smoke,rgb_linear,no,4015,1597,1.0,1.0,1.0,1597
q4.smoke,rgb_linear,yes,20,0,0.0,0.0,0.0,0
q4.smoke,mask_linear,no,4015,1597,1.0,0.9818409517845961,0.9908372827804107,1568
q4.smoke,mask_linear,yes,20,0,0.0,0.0,0.0,29
q4.smoke,rgb_mask_linear,no,4015,1597,1.0,1.0,1.0,1597
q4.smoke,rgb_mask_linear,yes,20,0,0.0,0.0,0.0,0
q4.occlusion,majority_prior,no,3682,1535,0.9611772072636193,1.0,0.9802043422733078,1597
q4.occlusion,majority_prior,yes,353,62,0.0,0.0,0.0,0
